[0.7312 0.6754 0.5803 0.4814 0.3615 0.2452 0.1464]
epoch=  319  step= 4150  Loss=0.7537  cls_acc=91.90  best_map=46.13
[0.7294 0.6742 0.5784 0.4832 0.3626 0.2417 0.1454]
epoch=  323  step= 4200  Loss=0.7456  cls_acc=90.95  best_map=46.13
[0.7096 0.6565 0.5654 0.4702 0.3560 0.2412 0.1430]
epoch=  326  step= 4250  Loss=0.7507  cls_acc=88.57  best_map=46.13
[0.7237 0.6701 0.5747 0.4806 0.3603 0.2433 0.1455]
epoch=  330  step= 4300  Loss=0.7334  cls_acc=90.48  best_map=46.13
[0.7303 0.6740 0.5798 0.4836 0.3591 0.2430 0.1492]
epoch=  334  step= 4350  Loss=0.7391  cls_acc=90.95  best_map=46.13
[0.7178 0.6651 0.5721 0.4720 0.3586 0.2447 0.1473]
epoch=  338  step= 4400  Loss=0.7117  cls_acc=91.43  best_map=46.13
[0.7294 0.6741 0.5769 0.4795 0.3593 0.2410 0.1437]
epoch=  342  step= 4450  Loss=0.7067  cls_acc=92.38  best_map=46.13
[0.7248 0.6687 0.5740 0.4814 0.3582 0.2402 0.1379]
epoch=  346  step= 4500  Loss=0.7039  cls_acc=91.90  best_map=46.13
[0.7191 0.6636 0.5739 0.4758 0.3532 0.2418 0.1438]
epoch=  349  step= 4550  Loss=0.7093  cls_acc=90.00  best_map=46.13
[0.7172 0.6622 0.5655 0.4663 0.3514 0.2387 0.1368]
epoch=  353  step= 4600  Loss=0.6971  cls_acc=90.48  best_map=46.13
[0.7276 0.6720 0.5789 0.4795 0.3604 0.2417 0.1388]
epoch=  357  step= 4650  Loss=0.6819  cls_acc=91.90  best_map=46.13
[0.7262 0.6699 0.5751 0.4781 0.3567 0.2414 0.1383]
epoch=  361  step= 4700  Loss=0.6720  cls_acc=91.90  best_map=46.13
[0.7263 0.6717 0.5802 0.4801 0.3565 0.2420 0.1467]
epoch=  365  step= 4750  Loss=0.6597  cls_acc=90.00  best_map=46.13
