epoch=  296  step= 3850  Loss=0.6102  cls_acc=89.05  best_map=45.14
[0.6952 0.6402 0.5519 0.4624 0.3430 0.2329 0.1375]
epoch=  299  step= 3900  Loss=0.6040  cls_acc=89.52  best_map=45.14
[0.7042 0.6491 0.5555 0.4655 0.3431 0.2362 0.1383]
epoch=  303  step= 3950  Loss=0.6101  cls_acc=88.57  best_map=45.14
[0.6998 0.6478 0.5546 0.4653 0.3406 0.2340 0.1381]
epoch=  307  step= 4000  Loss=0.5976  cls_acc=89.52  best_map=45.14
[0.6957 0.6438 0.5539 0.4615 0.3403 0.2382 0.1343]
epoch=  311  step= 4050  Loss=0.5992  cls_acc=87.62  best_map=45.14
[0.7050 0.6513 0.5590 0.4644 0.3496 0.2353 0.1370]
epoch=  315  step= 4100  Loss=0.5898  cls_acc=89.52  best_map=45.14
[0.7065 0.6488 0.5560 0.4635 0.3473 0.2346 0.1394]
epoch=  319  step= 4150  Loss=0.5818  cls_acc=89.05  best_map=45.14
[0.7031 0.6498 0.5563 0.4663 0.3438 0.2346 0.1382]
epoch=  323  step= 4200  Loss=0.5758  cls_acc=90.00  best_map=45.14
[0.7023 0.6484 0.5587 0.4667 0.3454 0.2371 0.1428]
epoch=  326  step= 4250  Loss=0.5765  cls_acc=88.57  best_map=45.14
[0.7053 0.6489 0.5566 0.4634 0.3453 0.2365 0.1368]
epoch=  330  step= 4300  Loss=0.5656  cls_acc=87.14  best_map=45.14
[0.7123 0.6594 0.5652 0.4729 0.3539 0.2396 0.1408]
epoch=  334  step= 4350  Loss=0.5739  cls_acc=90.48  best_map=45.14
[0.7062 0.6537 0.5627 0.4661 0.3507 0.2409 0.1443]
epoch=  338  step= 4400  Loss=0.5469  cls_acc=89.52  best_map=45.14
[0.7066 0.6565 0.5618 0.4726 0.3502 0.2386 0.1385]
epoch=  342  step= 4450  Loss=0.5523  cls_acc=90.00  best_map=45.14
[0.6991 0.6451 0.5572 0.4633 0.3454 0.2351 0.1359]
epoch=  346  step= 4500  Loss=0.5468  cls_acc=90.00  best_map=45.14
[0.7010 0.6472 0.5546 0.4649 0.3455 0.2356 0.1374]
epoch=  349  step= 4550  Loss=0.5475  cls_acc=90.00  best_map=45.14
[0.6970 0.6420 0.5558 0.4620 0.3425 0.2342 0.1366]
epoch=  353  step= 4600  Loss=0.5437  cls_acc=89.05  best_map=45.14
[0.7050 0.6507 0.5629 0.4700 0.3474 0.2376 0.1389]
epoch=  357  step= 4650  Loss=0.5353  cls_acc=89.05  best_map=45.14
[0.7072 0.6527 0.5576 0.4656 0.3465 0.2397 0.1383]
